Acronym/Jargon,What does it stand for?,Explanation
.X.400,,The International Telegraph & Telephone Consultative Committee standard that defines technical specifications for message handling services such as electronic mail under the Open Systems Interconnection model. 
<5hr RiSLA,Resolved In Service Level Agreement (Resolved in SLA) for <5hr tickets,Percentage resolved within service level  for less than 5hr tickets (priority tickets)
1SF,ONE SALES FORCE,
2G/3G/4G,2G/3G/4G,"2nd 3rd and 4th generation mobile telephony network, enabling the mobile communications and data transfers, making up our network"
2W,Two Wires,A line comprising two physical wires that is used by all regular telephones. for dial-up telephony and baseband applications. 
3G,Third Generation Mobile Services ,
4W,Four Wires,A line comprising four physical wires that is used for high-speed point-to-point communications
802.x,,Set of IEEE standards for the definition of LAN products 
AAL,soc,The AAL enables engineers to adapt the ATM layer to particular services. It lies between the ATM layer and the higher layers and maps or adapts the functions or services of the higher layers onto a common ATM bearer service 
AAR,Automatic Alternative Routing,A system for providing continued telecommunications service in the event that a primary transmission route fails catastrophically 
Aban,Calls Abandoned,
ABD,Calls Abandoned,
ABM,Asynchronous Balanced Mode,HDLC and derivative protocol communication mode supporting peer-oriented
ABR,Available Bit Rate,QoS class defined by the ATM Forum for ATM networks. ABR is used for connections that do not require timing relationships between source and destination. ABR provides no guarantees in terms of cell loss or delay
ACD,Automatic Call Distributer,"he telephone system that takes all the calls either coming into (or going out) of a centre and directs each call to the right person or team to answer, queuing the calls where necessary"
ACDS,Automatic Call Distribution Systems,Used by telephone companies and private businesses for managing high volumes of incoming calls 
ACG,Access Control Gateway,provides a secure and scalable remote access capability for Vodafone UK's third party suppliers to connect to Vodafone servers and applications in order to deliver their contracted service
Achievement of Results,,Achievement of Results is that stage of the Buying Cycle which follows on from the buying decision. This is where the client or customer puts what has been bought into action
ACK,Acknowledgement Code,A method in which one or more characters are generated at a receiving device to indicate the information has been received correctly 
ACM,Avaya Call Manager,"The core telephony server for Avaya IPT solutions, this contains all of the programming for the system configuration and call routing and is used to control the IP Handsets"
ACS,Access control system,
ACS,Asynchronous Communications Server,A LAN server that enables a network user to dial out of the network and into the public switched telephone network PSTN
ACSE,Association Control Service Element, OSI convention used to establish
ACTE,Approvals Committee for Terminal Equipment ,
Action List,,A controlled document forming part of a BCP. Defines a trigger
Active LSC processor,,The LSC processor which is currently in control 
ActiveX,,"a software framework created by Microsoft which adapts its earlier Component Object Model (COM) and Object Linking and Embedding (OLE) technologies for content downloaded from a network,"
Activity,,The on-going work of a resource or as set of resources for a particular purpose. Combined to deliver revenue-generating services to the customer. 
Activity BCP,,A BCP that covers the sustaining of one or several activities disrupted by the unavailability of resources. 
ACU,Automatic Calling Unit,The automatic generation of calls from a computer over a telecommunications network. Typically used to test telecoms networks under load. 
ACW,Average Call Wait Time,Average time spent between calls
Adaptive Equalisation,,A technique that allows a modem to continuously analyze and compensate for variations in the quality of a telephone line 
Adaptive Routing,,A form of routing in which messages are forwarded through the network along the most cost-effective path available. Messages are automatically rerouted as required by changes in the network topology if
Address,,A set of numbers that uniquely identifies something: a workstation on a LAN
ADM,,Add / Drop Multiplexer. In OSS
ADO,ActiveX Data Objects,a set of COM objects for accessing data sources.
ADP,Automatic Data Processing ,
ADS,Asynchronous Data Switching,
ADSL,Asymmetric Digital Subscriber Line,"A form of the Digital Subscriber Line technology, a data communications technology that enables faster data transmission over copper telephone lines than a conventional voiceband modem can provide. It does this by utilizing frequencies that are not used b"
Advice,,Customer requests activity which is not an incident
ADVICE (ADV),,A customer requested activity which is not an incident
ADVOCATE,,The person who receives and makes customer telephone call
AECMA,Association Europeenne des Constructeurs de Materiel Aerospatial,European Association for the Construction of Aerospace Equipment 
AEE,Association Electrotecnica ,Electrotechnical Association 
AENOR,Association Espanola de Normalizacion Standards Association,
AF,Audio Frequency ,
AFNOR,Association Francaise de Normalisation,Standards Association
AFUTT,Association Francaise de Telephone et des Telecommunications,French Telegraph & Telephone Users Association 
Aged WIP,Aged WIP,Usually 'aged WIP' means tickets that have aged for more than 14days (>14 days)
AGENT,,The person who receives and makes customer telephone call
Aggregate Bandwidth,,The total bandwidth of channel carrying a multiplexed bit stream 
Agile software development,,"a group of software development methods in which requirements and solutions evolve through collaboration between self-organizing, cross-functional teams. It promotes adaptive planning, evolutionary development, early delivery, continuous improvement and encourages rapid and flexible response to change."
AGW,Access Gateway,
AHT,Average Handle Time,The amount of time it takes an Agent to deal with all aspects of a call – includes talk time plus after call work
AIC,Avaya interaction centres. ,
AIC / AIFC,Audio Interface Card ,
AIFF,,A popular MAC format for sound files 
AIS,,Alarm Indication Signal. In a T1 transmission
AJAX,Asynchronous JavaScript + XML,a group of interrelated Web development techniques used on the client-side to create asynchronous Web applications
AKJ ,Aurora Kendrick James,
ALE,Approval Liaison Engineer UK ,
Algorithm,,A series of instructions or procedural steps for the solution of a specific problem 
All Incidents ,,All closed incident tickets in the reporting period 
Alleviation of Risk,,Alleviation of Risk is the third stage of the Buying Cycle. This is the stage where the client or customer worries about what might go wrong with the preferred alternative. This is especially a concern where a new product or a new supplier is being considered. 
Allocative Efficiency,,Achieved when prices are too close to cost: this ensures that all consumers who value a product at more than its cost are able to purchase it. 
ALOHA,,Time slot in the forward 'control' channel in which communication from mobile units is invited. Sent by a TSC
Alternate Routing,,A mechanism that selects an alternate route if a previous connection attempt fails 
Anchor,,The anchor tag <A> is used to define both anchors and links. An anchor is a named place in a document that other documents can form a link to . 
Ans,Calls Answered,
ANSI,American National Standards Institute,ANSI creates standards for networking and communications. It is the US representative to ISO 
AOD,Avaya orchestration designer,
AOD,call routing platform,
AP,Access Provider,
APA,Access Provided Architecture,The specifications of a system and the method in which its subcomponents interconnect
APL,Automatic Program Load,A programming language typically used in mathematical systems. Often used to develop mathematical models
APN,Access Point Name,"A configurable network identifier used by a mobile device when connecting to a GSM carrier, by using a computer protocol that typically allows a user's computer to access the internet using the mobile phone network."
